,slug,name,playtime,released,rating,rating_top,ratings_count,suggestions_count,reviews_text_count,added,reviews_count,esrb_rating,background_image
97,fable-3,Fable III,8,2010-10-25,3.72,4,630,642,3,2888,633,mature,https://media.rawg.io/media/games/827/8276bc29cdc27752e27802b94aea255e.jpg
98,doom-3,DOOM 3,2,2004-08-03,3.94,4,514,540,1,2873,519,mature,https://media.rawg.io/media/games/3b0/3b01313965c19adc6b6c37a3d9d33576.jpg
99,need-for-speed-heat,Need for Speed Heat,3,2019-11-08,3.23,3,401,190,1,2854,404,teen,https://media.rawg.io/media/games/370/3703c683968a54f09630dcf03366ea35.jpg
100,need-for-speed-rivals,Need for Speed Rivals,2,2013-11-15,3.17,3,600,401,2,2832,602,everyone-10-plus,https://media.rawg.io/media/games/1fa/1fa75f0895240b12fc65cc98ae9649fd.jpg
101,day-of-the-tentacle-remastered,Day of the Tentacle Remastered,3,2016-03-21,3.67,4,356,280,3,2828,360,teen,https://media.rawg.io/media/games/764/7648a8802fae5247298d775c85e9535f.jpg
102,dirt-rally-20,DiRT Rally 2.0,2,2019-02-26,3.54,4,285,334,0,2800,286,,https://media.rawg.io/media/games/8f3/8f306808c45a4dbe0cd698e0b142af08.jpg
103,battlefield-hardline,Battlefield Hardline,3,2015-03-17,3.2,3,589,616,3,2760,594,,https://media.rawg.io/media/games/d2b/d2b33b26e0d61aca35d434c8a69e3711.jpg
104,golf-with-your-friends,Golf With Your Friends,4,2016-01-29,3.83,4,294,304,1,2678,295,everyone-10-plus,https://media.rawg.io/media/screenshots/f5a/f5abab52c4d606551cd5ec3ab709e501.jpg
105,gears-of-war-2,Gears of War 2,22,2008-11-07,4.28,4,649,633,1,2677,652,mature,https://media.rawg.io/media/games/51b/51ba5f9b280c6fec71c293fe276e24ec.jpg
106,moonlighter,Moonlighter,4,2018-05-28,3.76,4,403,338,4,2653,409,everyone-10-plus,https://media.rawg.io/media/games/5c2/5c2b78d4ee2647849d0bfb5d772345c8.jpg
107,quake,Quake,1,1996-06-22,4.24,4,394,445,3,2631,399,,https://media.rawg.io/media/games/3a8/3a82d7f5c90ab082fe475e28d58bee8b.jpg
108,alice-madness-returns,Alice: Madness Returns,3,2011-06-14,4.01,4,476,599,2,2619,481,mature,https://media.rawg.io/media/games/0b5/0b5410b1e4b3fb72696dcefbf4f1cf40.jpg
109,dead-space-3,Dead Space 3,4,2013-02-05,3.63,4,641,519,5,2614,649,mature,https://media.rawg.io/media/games/568/5689c58278e807c1574ceefb8dec026b.jpg
